﻿觀測時間(hour),降水量(mm),測站氣壓(hPa),測站最高氣壓(hPa),測站最高氣壓時間(LST),測站最低氣壓(hPa),測站最低氣壓時間(LST),氣溫(℃),最高氣溫(℃),最高氣溫時間(LST),最低氣溫(℃),最低氣溫時間(LST),相對溼度(%),最小相對溼度(%),最小相對溼度時間(LST),風速(m/s),風向(360degree),最大陣風(m/s),最大陣風風向(360degree),最大陣風風速時間(LST),日照時數(hour),全天空日射量(MJ/㎡),TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil50cm,TxSoil100cm
2018-09-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-05,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-06,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-07,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-09,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-11,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-27,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-04,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-12,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-13,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-17,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-19,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-28,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
